Station ,2011,2012,2013,2014,2015,2016,Borough
Van Siclen Av ,2854,2864,2974,3050,3202,3224,Brooklyn
Van Siclen Av ,2765,2829,2883,2940,3004,3067,Brooklyn
West 8 St-New York Aquarium ,2478,2285,2069,2262,2397,2421,Brooklyn
Wilson Av ,3532,3566,3865,4248,4437,3812,Brooklyn
Winthrop St ,7409,7524,7639,7720,7541,7272,Brooklyn
York St ,7426,7798,8629,8973,9328,10246,Brooklyn
Manhattan,,,,,,,
1 Av ,22039,22436,23467,24286,23789,23195,Manhattan
103 St ,13292,13557,13500,13318,13309,13246,Manhattan
103 St ,15673,15721,16189,16641,13057,13994,Manhattan
103 St ,4562,4659,4760,4832,4800,4776,Manhattan
110 St ,11836,11908,12162,12452,13409,13341,Manhattan
116 St ,10627,11100,11508,11787,12196,12090,Manhattan
116 St ,16206,16514,16675,16674,16702,16707,Manhattan
116 St ,6153,6328,6594,7005,7215,7417,Manhattan
116 St-Columbia University ,16130,16283,16363,16460,16132,15861,Manhattan
125 St ,7468,7857,7995,8077,7991,7794,Manhattan
125 St ,14101,14471,15351,15744,15986,15719,Manhattan
125 St ,28341,28913,29425,30168,30277,30024,Manhattan
125 St ,25084,26276,27395,28428,29062,29423,Manhattan
135 St ,13641,14120,14690,15335,15598,15446,Manhattan
135 St ,5145,5409,5592,5620,5575,5785,Manhattan
137 St-City College ,14528,14854,14947,14768,14798,14460,Manhattan
14 St ,38802,40990,42718,43953,45253,44680,Manhattan
14 St ,47831,49237,49316,49990,50335,50692,Manhattan
14 St-Union Sq ,107352,108000,108158,109472,108440,106718,Manhattan
145 St ,9510,9952,9931,10099,10112,10039,Manhattan
145 St ,3136,3273,3426,3631,3664,3590,Manhattan
145 St ,21576,22125,22879,23805,24307,24604,Manhattan
155 St ,3845,3947,3948,4022,4038,4052,Manhattan
155 St ,2455,2490,2529,2586,2596,2733,Manhattan
157 St ,9972,10331,10677,10822,10918,10928,Manhattan
163 St-Amsterdam Av ,3772,3849,4080,4271,4340,4513,Manhattan
168 St ,24019,24580,25041,25659,25845,25879,Manhattan
175 St ,12737,12914,13309,13460,13224,13377,Manhattan
18 St ,8199,8437,8505,8638,8800,8903,Manhattan
181 St ,10370,10978,11228,11673,11850,11578,Manhattan
181 St ,10044,10223,10404,10861,11237,11294,Manhattan
190 St ,4425,4592,4546,4549,4683,4748,Manhattan
191 St ,7686,8042,8258,8580,8619,8545,Manhattan
2 Av ,17364,17540,17801,17183,17355,17059,Manhattan
207 St ,6745,6954,6098,6336,6514,6562,Manhattan
215 St ,2006,1996,2078,2057,2012,2001,Manhattan
23 St ,14663,14931,15283,15542,15451,15062,Manhattan
23 St ,31206,31053,31777,31212,29972,29452,Manhattan
23 St ,22900,23572,24782,25620,25731,24569,Manhattan
23 St ,27049,27977,28749,29327,30652,31078,Manhattan
23 St ,22080,22981,22760,24060,25973,26693,Manhattan
28 St ,13634,14597,15149,15568,15620,15253,Manhattan
28 St ,22794,22715,23696,23856,24470,24130,Manhattan
28 St ,10894,11502,11607,12407,13271,13680,Manhattan
3 Av ,6278,6532,6803,7193,7140,7179,Manhattan
33 St ,31181,31877,32783,32863,32809,32153,Manhattan
34 St-Herald Square ,121081,121120,122517,125355,126776,125682,Manhattan
34 St-Penn Station ,87482,88929,90042,92693,92176,90524,Manhattan
34 St-Penn Station ,81585,82511,83717,85634,84778,82584,Manhattan
42 St-Bryant Pk ,50375,51962,53222,54289,55400,57793,Manhattan
47-50 Sts-Rockefeller Center ,59979,59749,61099,62693,63803,62283,Manhattan
49 St ,25480,25793,25356,26546,25459,27077,Manhattan
5 Av-53 St ,23970,24727,25939,26761,26955,26566,Manhattan
5 Av-59 St ,18797,18816,18394,19245,18957,18637,Manhattan
50 St ,25062,25930,26192,27251,26927,26362,Manhattan
50 St ,17403,17892,19406,20993,20828,20921,Manhattan
57 St ,15045,14743,15363,15506,15725,15768,Manhattan
57 St-7 Av ,27497,28044,28159,29414,29976,30311,Manhattan
59 St-Columbus Circle ,67901,69653,72236,74572,73954,73836,Manhattan
66 St-Lincoln Center ,22436,23305,23651,24311,24631,24064,Manhattan
68 St-Hunter College ,36026,36109,36562,36208,35640,35068,Manhattan
7 Av ,14530,14922,15800,16833,17356,17538,Manhattan
72 St ,39180,40271,40853,40639,40506,40450,Manhattan
72 St ,8679,8875,9067,9361,9443,9448,Manhattan
77 St ,36607,36846,37182,37521,36797,36103,Manhattan
79 St ,16276,16349,16576,16987,16865,16372,Manhattan
8 St-New York University ,17759,17766,16597,17248,17902,18305,Manhattan
81 St-Museum of Natural History ,12685,13119,13663,13935,14129,14140,Manhattan
86 St ,19269,19677,19766,20221,20145,19757,Manhattan
86 St ,62214,63550,64741,65634,65948,64793,Manhattan
86 St ,10771,11093,11236,11605,11594,11809,Manhattan
96 St ,36550,37941,38711,39254,39434,38859,Manhattan
96 St ,25848,26070,26232,26529,28060,26939,Manhattan
96 St ,9249,9514,9815,10203,10365,10425,Manhattan
Astor Place ,17632,17607,17914,17803,17274,16806,Manhattan
Bowery ,2763,2746,2743,3015,3325,3504,Manhattan
Bowling Green ,27015,28183,30640,34830,31556,31522,Manhattan
Broad St ,5746,5261,5635,6525,6865,7279,Manhattan
Broadway-Lafayette St ,36301,37283,38799,40148,39724,39058,Manhattan
Brooklyn Bridge-City Hall ,36350,36993,36680,37160,35858,34352,Manhattan
Canal St ,5960,5854,6039,6277,6275,6116,Manhattan
Canal St ,18986,19097,19738,19974,20103,19660,Manhattan
Canal St ,45700,45952,44696,44362,44409,45030,Manhattan
Cathedral Pkwy-110 St ,13650,13870,13874,13630,13444,12926,Manhattan
Cathedral Pkwy-110 St ,6742,6933,7117,7253,7490,7553,Manhattan
Central Park North-110 St ,8472,8751,9130,9559,9865,9855,Manhattan
Chambers St ,22683,23151,23147,23862,23997,23574,Manhattan
Chambers St ,53178,53589,53426,55683,57616,55038,Manhattan
Christopher St-Sheridan Sq ,10077,10068,10076,10060,9898,9792,Manhattan
City Hall ,8954,7330,5666,4344,6310,6766,Manhattan
Cortlandt St ,0,0,0,0,0,0,Manhattan
Cortlandt St ,4745,6393,5497,5393,8549,12868,Manhattan
