Station ,2011,2012,2013,2014,2015,2016,Borough
145 St ,13300,14616,13589,14487,13951,14015,Manhattan
145 St ,3413,3594,3685,3495,3738,3133,Manhattan
145 St ,27122,27736,29522,31573,31882,30729,Manhattan
155 St ,4979,4906,5014,4998,5059,4996,Manhattan
155 St ,3112,3212,3277,3563,3326,3368,Manhattan
157 St ,13380,14552,13471,13190,13403,13735,Manhattan
163 St-Amsterdam Av ,4845,4881,5100,5553,5302,5471,Manhattan
168 St ,25915,24960,27877,28757,26334,29950,Manhattan
175 St ,14622,14568,13982,13877,15221,11504,Manhattan
18 St ,7753,7867,7818,7883,8145,7759,Manhattan
181 St ,9742,13682,13652,14173,13860,14919,Manhattan
181 St ,12852,12549,12103,12667,14129,10509,Manhattan
190 St ,5996,5974,5798,5531,6230,4546,Manhattan
191 St ,6654,9138,9028,9380,9434,10023,Manhattan
2 Av ,24518,24235,27022,25696,26503,26234,Manhattan
207 St ,6178,8484,7565,7954,7858,8673,Manhattan
215 St ,1363,1858,2023,1893,1910,2342,Manhattan
23 St ,16730,16990,17138,17167,17640,15941,Manhattan
23 St ,20183,21335,20735,20246,18388,19249,Manhattan
23 St ,21867,23119,24391,25870,23887,23549,Manhattan
23 St ,19493,20120,20880,22545,21257,19973,Manhattan
23 St ,19543,19597,20605,22743,25157,24898,Manhattan
28 St ,11675,12833,12732,13004,12742,12098,Manhattan
28 St ,17723,18664,19269,19026,18121,18646,Manhattan
28 St ,9803,9883,10400,11795,13006,13195,Manhattan
3 Av ,8445,10073,10761,11875,10481,11420,Manhattan
33 St ,24125,25926,26004,26363,24782,25391,Manhattan
34 St-Herald Square ,127682,125297,128250,134816,132961,126221,Manhattan
34 St-Penn Station ,82935,87177,87791,92317,88770,84702,Manhattan
34 St-Penn Station ,73738,76888,80788,86057,83698,74992,Manhattan
42 St-Bryant Pk ,35576,35250,36169,37872,38673,40137,Manhattan
47-50 Sts-Rockefeller Center ,40178,39051,39972,41198,40299,39633,Manhattan
49 St ,30294,31697,31139,32745,28130,33634,Manhattan
5 Av-53 St ,7897,10344,12815,13416,13438,8340,Manhattan
5 Av-59 St ,20405,22443,22737,22921,21633,21376,Manhattan
50 St ,23577,26513,25883,27848,26084,26277,Manhattan
50 St ,21213,22505,24262,27942,27920,26306,Manhattan
57 St ,14776,13207,11094,11907,13122,14693,Manhattan
57 St-7 Av ,30018,31343,32616,33579,34519,34509,Manhattan
59 St-Columbus Circle ,74713,76520,80476,84152,82220,80270,Manhattan
66 St-Lincoln Center ,25773,28259,27722,29160,28054,27001,Manhattan
